[2018-06-20 11:04:37.553] [INFO] info - request url : /shanghai/rent/detail/aa ; request params : {}
[2018-06-20 11:04:38.079] [INFO] info - request url : /favicon.ico ; request params : {}
[2018-06-20 11:04:38.083] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.086] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.089] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.096] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.111] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.114] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.117] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.120] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.124] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.129] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.131] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.135] [INFO] info - request url : /seo/error.html ; request params : {}
[2018-06-20 11:04:38.152] [INFO] info - request url : /seo/error.html ; request params : {}
